==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
112 f35ed23733431177436a1e7797c07dfe-SCPC-900-...    900   41714 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
113 e966bddd11e46b735f8520f8304e368e-SC23_Time... 249224  807026 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
114 2722f39c27dc45a989bb52761ed52e50-31_1.cnf       5088   17056 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
115 21667cf04beae213adbab0d48408a7e4-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
116 4d2f74ef97b6d40ebd71f85dcb75c543-tseitingr...   2240    8960 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
117 97a17306a2882e0fd1aa3981a267df0d-SC23_Time... 249040  808838 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
118 bcd753d08904860fa93a794557185e04-SC23_Time... 251975  818495 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
119 fe19a31b76cbba5901e16ce36c7578ed-C208_FA_U...   1805    7334   UNSAT   UNSAT      449.9ms       1.532s     OK
120 037c423f56548082b1935e88c48ffdda-3col120_5...    240    1026     SAT     SAT      871.2ms       1.259s     OK
121 431bfb466be51ecd86b321b5cbce6d3c-mrpp_8x8#...   8918   72538   UNSAT   UNSAT      966.2ms       1.224s     OK
122 17039a3ed02ea12653ec5389e56dab50-pbl-00070...    257    7375   UNSAT   UNSAT      1971.8s       81.6ms     OK
123 92387c29e87aa857e84feb301f3d6aff-rbsat-v76...    760   43649 TIMEOUT     SAT      5000.0s       5.643s    N/A
124 358fa8d20aa467c7e9b9bf34f73d1dc9-patat-08-...  78774 1618778 TIMEOUT     SAT      5000.0s      10.228s    N/A
125 1aa7cd96ab1f7bf58984deccf8362ab4-rand_net5...   6000   17901 TIMEOUT   UNSAT      5000.0s      47.982s    N/A
126 3a7a64e1d6cf5ce969b2b05b5464f707-PRP_30_38... 177404 1060646 TIMEOUT     SAT      5000.0s       202.6s    N/A
127 d3529338d35aa27e8024932d3b5f64b5-PRP_20_50... 155138  930768 TIMEOUT     SAT      5000.0s       380.4s    N/A
128 2d0c041c0fe72dc32527bfbf34f63e61-170223547...    322    1127 TIMEOUT     SAT      5000.0s       620.6s    N/A
129 bd0b055b890a9ace598a0c4aba40de30-sat-bench... 618715 2626081 TIMEOUT   UNSAT      5000.0s       705.0s    N/A
130 eaf2f0803dd2045f1b189ee834ef0c8f-rphp_p8_r...   4000  227133 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
131 cd118ff851f95661b2a3adfc3e393c74-Schur_160...    756   27689 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
132 f4064d73fd6e69caf154046e61fea7b8-cliquecol...    387    9088 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
133 558ce551d2b933b7a5f1c7d2a6044930-collectio...    945   22923 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
134 275d36e3f246990dccd094e5e1442ba9-WS_500_32...   1000   25001 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
135 21bde0ebb111c637a1ae8789827b0b73-WCNF_from...    572   12199 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
136 b3840e295097a13e6697fff6be813eeb-php16-mix...    412    3654 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
137 a45b60e53917968f922b97c6f8aa8db3-unsat-set...    205    4549 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
138 8c7477dc33a412514998a2fd6b32dbf5-intervals...   2630   64446 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
139 9811b95bfd5888014d27e6dd384ff502-WS_500_16...   1000   13501 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
140 db4a0d4ba26c46d66ad6cdcb0645a4d9-WS_500_16...   1000   13501 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
141 644fd765d26bd4a380922ccd0f594c58-mchess18-...  26095    1223 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
142 70ce0cff914efdc48f2a8fe86b5c68c6-TableMode...  12432  164976 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
143 758f9ed67b4d2068c209157335e07266-or_randxo...   1280    8636 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
144 4e64ffc14db014d5591f40865376c32a-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
145 00bb0b4ef28ed38c49de4c54b9fabc4d-25_2.cnf       4128   13792 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
146 0ae0c5a4fb9001d63669a0aa5b592167-multiplie...   5776   17202 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
147 aa0d6b8c63f57956b9aed350f38e0571-intervals...   2353   52270 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
148 82fe0a5b2467d6e5299c315da8b16ec5-brent_51_...  60812  264896 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
149 571a2f223784fb92a53b4cc8cc8b569e-clqcolor-...    132    1527   UNSAT   UNSAT       420.3s       7.622s     OK
150 220bb8aa093e502c47afcdac3140d67c-vmpc_24.cnf     576   67872     SAT     SAT       551.4s      14.132s     OK
151 27b4fe4cb0b4e2fd8327209ca5ff352c-grid_10_2...    398     741   UNSAT   UNSAT       586.0s        9.2ms     OK
152 037d21e060a2e3eab8b080aa84ceee75-mm-1x10-1...   2396   83733 TIMEOUT     SAT      5000.0s       1.980s    N/A
153 00f2eb377986e7decbc863931680a3b2-rand_net7...   5600   16661 TIMEOUT   UNSAT      5000.0s      25.115s    N/A
154 1b02025658c2a23e1fd3ce0a9c3633cb-asconhash... 158739  373741 TIMEOUT     SAT      5000.0s       126.2s    N/A
155 f448874997bae64bd455fb00309dc738-asconhash... 127096  297418 TIMEOUT     SAT      5000.0s       136.1s    N/A
156 b44611ea7852dd30215cc1cb09e1ab79-PRP_30_39... 182106 1088662 TIMEOUT     SAT      5000.0s       220.1s    N/A
157 3cff6c97a515aecfe46ba0f1256a3c11-shuffling...   3502   30746 TIMEOUT     SAT      5000.0s       600.1s    N/A
158 711ff7681711949f44b07a0d530dc729-asconhash... 158780  373402 TIMEOUT   UNSAT      5000.0s       656.7s    N/A
159 177a4ad8fd76ad8240387998112c3168-SC23_Time... 247375  798538 TIMEOUT     SAT      5000.0s       696.6s    N/A
