/opt/gridview/slurm/spool/slurmd/job289967/slurm_script: line 16: module: command not found
==========================================================================================
  SAT Solver Benchmark: CDCLSolver vs MiniSat (Parallel)
==========================================================================================
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Dataset     : Datasets/cdcl_dimacs/large/cnfs (356 files)
  Timeout     : 300s
  Workers     : 32
==========================================================================================

[INFO] Submitting 356 instances ...
  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
105 3728fe50d8038c639c2d9c84e04fe2b1-46bits_11...    689   16922 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
106 37d40a1092b58ad28285b9453872d211-Decompres...    228    2023 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
112 3a7a64e1d6cf5ce969b2b05b5464f707-PRP_30_38... 177404 1060646 TIMEOUT     SAT       300.0s       222.6s    N/A
107 385a678ba820d79c6fb5f497adaf32ec-grs-48-12... 289152  832046 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 110/356
127 44092fcc83a5cba81419e82cfd18602c-php-010-0...     90     415 TIMEOUT   UNSAT       300.0s       3.880s    N/A
108 385e2c7010a419a9bd47b9258c9d2903-tseitin_d...    300     800 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
109 38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v11...   1150   84314 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
110 38ca761a5808eace8bc8f1fcfdb5b5a8-multiplie...   5052   15038 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
111 396245861b331d45e1345bd43fe352e2-asconhash... 158719  373656 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
113 3cff6c97a515aecfe46ba0f1256a3c11-shuffling...   3502   30746 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
114 3e7dc7350195104b76b7d03ab5b0af8f-SC23_Time... 253201  823946 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
128 44ad104c3b0c83b4cfc260583dee2397-PRP_30_36... 167970 1003984 TIMEOUT     SAT       300.0s       151.7s    N/A
115 3f341c57c37d86350af5233b8e15e52e-19_2.cnf       3168   10528 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
116 3f4174289e971950c290f27892169bc5-intervals...   2598   62264 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 120/356
117 3ff114cc7bee4f39fa56a0325e605c2d-stb_588_1...   1176   13650 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
118 4029fbae284eaf924b37b6f43d3a67fb-WCNF_from...    616   13134 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
120 41457ee03686b32962c12445524f62a9-mchess18-...  26095    1281 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
121 41a8365f60db55b71d949df6954e0db7-FileObjec...    247    2073 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
153 587150fb7b12a6b5dd7e4a9446b9713b-iso-ukn00...   1890   12666     SAT     SAT       99.2ms       95.5ms     OK
122 41c39c9a2d75ca50b603ea7c3d86106a-brent_63_...  75330  334611 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
123 428da12ab8f5f68ae261e6468c2fef73-TableSymM...  10440  115644 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
126 4408f30395fb799e01b34b0dc7ee1d62-cliquecol...    329    9018 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
125 4380f8ed143d97a65f8888b2feeddb80-intervals...   2331   49442 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
119 40ae60a61929b6bfa2ac99ab4b9a0f7e-grs-96-19... 688704 1988478 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 130/356
130 4611cd26b441b8c5866e4a2c5a7952dc-WS_400_24...    800   15601 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
132 48ac8814180bdc90bf96a4caea64dae2-intervals...   2478   56767 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
133 4989239fbeb6eb40fc0b664d9ba92636-asconhash... 126976  296954 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
134 4a6a797c6b4a8055d10b74edda9a5e30-TableSymM...  14208  190560 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
135 4d2f74ef97b6d40ebd71f85dcb75c543-tseitingr...   2240    8960 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
131 46e119b7ff8d0781354bfe68139c99b5-grs-96-96... 259366  756532 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
136 4e64ffc14db014d5591f40865376c32a-satcoin-g... 141429  646176 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
137 4f38f4b005cc54122135c8c21aec4b85-intervals...   2621   59571 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
138 4fd2e4e6ecb4fe8d3f9e1fda81633469-brent_69_...  82460  361693 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
141 4ffb80a0ad8b753fee1492101ffcbdbb-REGRandom...   4608  825728 TIMEOUT   UNSAT       300.0s       137.9s    N/A
[INFO] Completed 140/356
149 571a2f223784fb92a53b4cc8cc8b569e-clqcolor-...    132    1527 TIMEOUT   UNSAT       300.0s      13.980s    N/A
139 4fdcf4248a332c1c9a89d37439c879a9-or_randxo...   1040    6991 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
140 4fe42891b004d7425631a8edb4252d3f-32_0.cnf       5248   17600 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
151 578f9377bfbfcc6ea3a18eb630667956-ferry8_ks...   2547   32525 TIMEOUT     SAT       300.0s      951.7ms    N/A
176 71bca76153c6ee65b72a517fd658a42d-iso-brn10...   3588   10984     SAT     SAT      100.8ms       76.0ms     OK
142 524848d379582b63060ed43d3729b9f3-satcoin-g... 134781  648806 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
143 52be8740aab896317320cd44a5d2af2f-intervals...   2572   61869 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
144 53799aafcd0c684a2adc79400bd35f82-satcoin-g... 141429  646176 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
145 5437ba8972228ea5531a69a9aa064acc-satcoin-g... 134781  648806 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
146 54ab5a53d2fdfcda16ec74768b29f901-rphp_p30_...   1800   26625 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 150/356
170 705f6075b27775e03daf6e8d781cb953-shift1add... 636737 1128758 TIMEOUT   UNSAT       300.0s      22.492s    N/A
147 558113ad4d50130351db8c426230a50f-asconhash... 158758  373505 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
148 558ce551d2b933b7a5f1c7d2a6044930-collectio...    945   22923 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
171 70af2c3bfd44bcf9baa2a9605f4a17fe-gensys-ic...   1444    7479 TIMEOUT   UNSAT       300.0s      29.752s    N/A
178 71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-t...  64138  181073   UNSAT   UNSAT       103.1s       4.622s     OK
150 578b5e6a2f0b295168cb6c5420810a72-php18-mix...    526   10710 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
152 57c305967b30c503da1737258e6cc7e5-6s20-sc20...  58614  175093 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
154 5918f1624d4dfd964227356786a4e9ec-ContextMo...  41328  279099 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
155 5b3d8a4465726adfcb58b9cdb1cc33f1-intervals...   2550   59684 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
156 5dc5185101e1d439d14f0a04acfa9bfb-28_2.cnf       4608   15424 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 160/356
