==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
142 a98d77ba9d3fbe8b7c55cbf75b2b43a8-TableMode...   4680   39564 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
143 c32f194ad850c944142c74514dfb3c5f-WCNFPlus_...    637   15090 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
144 328da7966b09b2f6e99c93c4e877fbff-sgen3-n26...    260     624 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
145 dd6ef995af0267ce71076250a1226801-intervals...   2354   49820 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
146 21667cf04beae213adbab0d48408a7e4-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
147 9fe43145e48a0ef0096bb72531f1a0e3-16_1.cnf       2688    8896 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
148 19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0...  10449   45927 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
149 52be8740aab896317320cd44a5d2af2f-intervals...   2572   61869 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
150 f08b3567642ea029452fff2c1d10c132-brent_15_...  17565   72961 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
151 7dc81d3cb9066f8bc06ceffbca237572-TableMode...   7182   70119 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
152 8bcd3f3e269fa3c9516667b626d61602-TableSymM...  12432  165008 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
153 71758ed7637888d4fd4593ec820677bc-SCPC-800-...    800   33552 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
154 d1f4348ad66cae01386777daae51c024-eqspctbk1...   4699   14014 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
155 2902c241b2196f5fd914509fdc124ba7-REGRandom...  10240 3306240 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
156 0d3e99a07b6a6b67ac59d706c0af9d68-grs-32-16... 372416 1063454 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
157 fe19a31b76cbba5901e16ce36c7578ed-C208_FA_U...   1805    7334   UNSAT   UNSAT      487.4ms       64.1ms     OK
158 71bca76153c6ee65b72a517fd658a42d-iso-brn10...   3588   10984     SAT     SAT      532.8ms       29.5ms     OK
159 037c423f56548082b1935e88c48ffdda-3col120_5...    240    1026     SAT     SAT       2.345s      554.9ms     OK
160 44ad104c3b0c83b4cfc260583dee2397-PRP_30_36... 167970 1003984 TIMEOUT     SAT      5000.0s       141.2s    N/A
161 291c2b4fa2d8b009cd2a8331891ba667-PRP_30_40... 186658 1117278 TIMEOUT     SAT      5000.0s       145.2s    N/A
162 3a7a64e1d6cf5ce969b2b05b5464f707-PRP_30_38... 177404 1060646 TIMEOUT     SAT      5000.0s       202.9s    N/A
163 ddd3b43476c18cf483aac233d4dc1c68-PRP_20_40... 123918  742348 TIMEOUT     SAT      5000.0s       212.6s    N/A
164 d3529338d35aa27e8024932d3b5f64b5-PRP_20_50... 155138  930768 TIMEOUT     SAT      5000.0s       376.0s    N/A
165 945d67baeb7860df648ab6ef4782d5ed-stb_792_3...   1584   17254 TIMEOUT     SAT      5000.0s       518.4s    N/A
166 21bde0ebb111c637a1ae8789827b0b73-WCNF_from...    572   12199 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
167 644fd765d26bd4a380922ccd0f594c58-mchess18-...  26095    1223 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
168 c9af5b23c87350f5d817acc9ca7b69bb-CNF_to_al...    252    2049 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
